Time,x,y,z
4.897,-9.16228914507292e-12,-1.038945508924147e-11,2.9960458559476503e-12
4.898,9.102209105595229e-12,1.005483783137204e-11,9.640824806445976e-13
4.899,-9.129003588341857e-12,-1.039853189999914e-11,3.0322435119304866e-12
4.9,9.071992850711833e-12,1.0072463815265739e-11,9.262555446172684e-13
4.9,-9.094285220061369e-12,-1.041481937703036e-11,3.0719621014579795e-12
4.902,9.039515997081856e-12,1.0095602444963797e-11,8.808688918486146e-13
4.9030000000000005,-9.05971474039159e-12,-1.0437474227530937e-11,3.1169655607494827e-12
4.904,9.00903425660545e-12,1.0116350372101291e-11,8.342391084815227e-13
4.905,-9.048095215065908e-12,-1.0462825045079693e-11,3.304207851865384e-12
4.906,8.992861355946813e-12,1.0154688092576584e-11,7.990347829168264e-13
4.907,-9.007687092667408e-12,-1.0494985384115699e-11,3.201724260806401e-12
4.907,8.955791742977886e-12,1.0185342827532221e-11,7.429130506563939e-13
4.907,-8.979569101320805e-12,-1.0528833892502219e-11,3.2538749473525008e-12
4.907,8.926811721353305e-12,1.0218269871420707e-11,6.929114644526226e-13
4.907,-8.954293044136873e-12,-1.0563532344839277e-11,3.2991807897627357e-12
4.907,8.900197134806749e-12,1.0250770481324671e-11,6.483498045360432e-13
4.913,-8.931688369817653e-12,-1.0597939148771742e-11,3.340641333093888e-12
4.914,8.875967091488106e-12,1.0282130274456024e-11,6.019353350469914e-13
4.915,-8.91145877423209e-12,-1.0631146006306847e-11,3.3893814838974825e-12
4.916,8.853922204593085e-12,1.0311787913916722e-11,5.603048582043574e-13
4.917,-8.893223954712121e-12,-1.06626282940945e-11,3.4298008323206913e-12
4.918,8.83383814209398e-12,1.0339437363447514e-11,5.183827396508778e-13
4.9190000000000005,-8.879812548192115e-12,-1.0685850661828513e-11,3.4421744622185863e-12
4.92,8.81336730059004e-12,1.034474068072328e-11,7.034241801547891e-13
4.921,-8.872199752105093e-12,-1.070612579069511e-11,3.473053150713452e-12
4.922,8.814319691361012e-12,1.038640458407631e-11,4.650600461694666e-13
4.923,-8.863640376696006e-12,-1.0740941588062821e-11,3.513454055556891e-12
4.924,8.802776739063722e-12,1.039591728320737e-11,4.4439364702236505e-13
