Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position_controller_output.thrust.num,position_controller_output.orientation_set_point.w,position_controller_output.orientation_set_point.x,position_controller_output.orientation_set_point.y,position_controller_output.orientation_set_point.z,position_controller_output.euler_set_point.phi,position_controller_output.euler_set_point.theta,position_controller_output.euler_set_point.psi
13.142,522,13,142000000,,18.17600934380379,0.963745151693854,0.001622960937287174,0.00798886538185055,0.2666998811666346,0.007390348099052762,0.01453328518626883,0.5400066118820397
13.152,523,13,152000000,,18.176284180809144,0.9636486474125764,0.0016524445317613904,0.00806935568651741,0.2670457624935954,0.007495403061852816,0.014670016947603929,0.5407260942703767
13.17,524,13,168000000,,18.21772501495962,0.9635525939128318,0.0016793362597849562,0.008174451842786114,0.26738877487779844,0.007608683900368045,0.014855503617859754,0.541440068100395
13.173,525,13,172000000,,18.25892889023797,0.9634571416162675,0.001706449049796039,0.00828011665725437,0.2677290868926912,0.00772278760801083,0.01504191018349789,0.5421485481824606
13.183,526,13,183000000,,18.15759287812196,0.9633628377127843,0.0017437313324240168,0.008302071646030798,0.2680673011043984,0.007811685267418204,0.015061509337117779,0.542851549326938
13.193,527,13,192000000,,18.15247460429659,0.9632687793713428,0.001774535958510288,0.008380779458616807,0.26840244456085205,0.00791855030327697,0.015193891409318584,0.5435490863441932
13.204,528,13,201000000,,18.14252997887404,0.9631753512525316,0.0018059358346595908,0.008456499758741591,0.2687349418054038,0.008025007574528117,0.015320147411850296,0.5442411740445915
13.211,529,13,212000000,,18.13697356013755,0.9630825140301026,0.0018372015923867166,0.008535371668988814,0.26906475668552043,0.008132949479379993,0.015452496961085726,0.5449278272384975
13.223,530,13,222000000,,18.131224286919885,0.9629902848215829,0.0018686347998624624,0.008614854179815076,0.26939191493193,0.008241592735982432,0.015585882558625768,0.545609060736277
13.232,531,13,232000000,,18.125279749104408,0.9628986652688886,0.001900235393204731,0.00869478842641201,0.2697164254973423,0.00835085160820555,0.015719998387466537,0.5462848893482954
13.243,532,13,242000000,,18.11913651974685,0.962807659537817,0.0019320357378479836,0.00877464268865746,0.2700383002814698,0.008460500950981793,0.01585380320282853,0.5469553278849192
13.252,533,13,252000000,,18.117352923321338,0.9627172476286683,0.001963724784767604,0.008857443683769145,0.2703575236508873,0.008571577687218291,0.015993293868566832,0.547620391156512
13.262,534,13,262000000,,18.119914395723846,0.9626274272010082,0.0019953173270129813,0.008943544257585645,0.27067409947249194,0.008684306073146082,0.016139141179117862,0.5482800939734394
13.274000000000001,535,13,272000000,,18.117702139294742,0.9625382386704935,0.0020274424647045825,0.009027109078020304,0.27098808068963115,0.00879673883935153,0.016279768957429247,0.5489344511460676
13.282,536,13,282000000,,18.13347402680015,0.9624495746678311,0.0020584888083208202,0.009123635858677545,0.27129935148144996,0.008914179849606367,0.016445886881216003,0.549583477484762
13.292,537,13,291000000,,18.08534037232238,0.9623618261851038,0.0020941834121066456,0.009177360232920387,0.27160836871617905,0.009017373705791214,0.016527039189883606,0.5502271877998871
13.304,538,13,302000000,,18.07792761702447,0.9622745013113447,0.002127159115899174,0.009258682784155951,0.27191457502899785,0.009130357862065541,0.016662748634000548,0.5508655969018088
13.312,539,13,312000000,,18.074839843436084,0.9621877698429794,0.002160031269954199,0.009343277767556654,0.27221817167497236,0.009244968357728969,0.016804766603928198,0.5514987196008926
13.327,540,13,322000000,,18.062466761650906,0.9621016988404502,0.002193804647373524,0.009421794186712898,0.2725192435476663,0.009358045184002852,0.01693454982087729,0.5521265707075035
13.341,541,13,332000000,,18.054419392310045,0.9620162182966886,0.002227550746472393,0.009504083633233695,0.27281771596819426,0.009473166724096548,0.017071563782535645,0.5527491650320077
13.343,542,13,342000000,,18.064267956234882,0.9619312573157675,0.002260219996983717,0.00959982169490938,0.27311351308182863,0.009593606553942077,0.01723499710786116,0.553366517384769
13.352,543,13,352000000,,18.05125058030624,0.9618470322355201,0.0022946717034799165,0.009679338740908663,0.27340689724846795,0.009708658733057412,0.017366201226897245,0.5539786425761539
13.362,544,13,362000000,,18.038022999828208,0.9617634277505497,0.002329231350384647,0.009758594258097166,0.2736977412419318,0.009823811136649886,0.017496800134140202,0.5545855554165279
13.374,545,13,374000000,,18.020066958298585,0.9616804668848087,0.0023642920193826227,0.00983453624566889,0.2739860792673529,0.009938145331952863,0.0176207084416697,0.5551872707162557
13.385,546,13,385000000,,18.015441932204233,0.9615980439003226,0.0023986991678711864,0.009921332828050144,0.2742717910472943,0.010057208926897713,0.01776581198501169,0.5557838032857032
13.392,547,13,392000000,,18.01058923344154,0.9615162353867315,0.0024333603075204625,0.010008656115653086,0.27455497563894204,0.010177091724191945,0.017911746096790034,0.5563751679352353
13.402,548,13,402000000,,18.00100693874256,0.961435070848328,0.002468511438225192,0.010092653622379572,0.27483567697263855,0.010296128793259317,0.018050972541468726,0.5569613794752176
13.412,549,13,412000000,,18.01372146832026,0.9613543899816129,0.0025022623227526465,0.01019426385618449,0.2751137083657947,0.010422204637428458,0.018224796144628796,0.557542452716016
13.424,550,13,423000000,,18.044196045398547,0.961274212274807,0.002535005760309606,0.010310516475805144,0.2753890989332128,0.010554466847563686,0.018427284161083177,0.5581184024679945
13.432,551,13,432000000,,18.006917851318164,0.9611950667572707,0.002572392731805272,0.010373556537902139,0.27566250336575354,0.010666375894118592,0.018524857809904184,0.5586892435415199
13.444,552,13,443000000,,17.94252990766572,0.9611167062717745,0.002611991714277354,0.010415709726678409,0.27593362864187093,0.010771014451332866,0.018581021726599638,0.5592549907469564
13.452,553,13,452000000,,17.94530309434181,0.961038542934141,0.002647220224526012,0.01051184128935977,0.27620176033619537,0.010897069179179066,0.018743332942547226,0.5598156588946711
13.464,554,13,462000000,,17.92540658799102,0.960961145394112,0.0026840627265448504,0.01058940242064677,0.2764676064324533,0.01101599723538318,0.018869015429958814,0.5603712627950272
13.472,555,13,471000000,,17.918757029207235,0.9608842801940433,0.002720170998997521,0.010677918313520503,0.2767308851686083,0.011139603073553685,0.01901612310722687,0.5609218172583914
